id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,explicit_content,instrumentalness
1,Blinding Lights,The Weeknd,pop,happy,0.8,96,0.82,0.69,0.07,95,2020s,uplifting|catchy|bright,False,0.01
2,Shape of You,Ed Sheeran,pop,euphoric,0.77,132,0.71,0.63,0.09,89,2010s,glossy|radio-ready|sunny,False,0.03
3,Uptown Funk,Mark Ronson ft. Bruno Mars,pop,carefree,0.66,129,0.71,0.75,0.11,93,2010s,feel-good|anthemic|warm,False,0.04
4,Rolling in the Deep,Adele,pop,romantic,0.65,122,0.68,0.66,0.29,86,2010s,sleek|polished|danceable,False,0.02
5,Levitating,Dua Lipa,pop,happy,0.63,117,0.77,0.85,0.23,91,2020s,uplifting|catchy|bright,False,0.03
6,Watermelon Sugar,Harry Styles,pop,euphoric,0.72,130,0.66,0.8,0.27,83,2010s,glossy|radio-ready|sunny,False,0.02
7,Bad Guy,Billie Eilish,pop,carefree,0.62,109,0.84,0.9,0.26,83,2010s,feel-good|anthemic|warm,False,0.04
8,Anti-Hero,Taylor Swift,pop,romantic,0.75,118,0.61,0.72,0.21,84,2020s,sleek|polished|danceable,False,0.04
9,Firework,Katy Perry,pop,happy,0.62,105,0.75,0.69,0.15,84,2010s,uplifting|catchy|bright,False,0.01
10,Someone Like You,Adele,pop,euphoric,0.82,109,0.8,0.86,0.24,75,2010s,glossy|radio-ready|sunny,False,0.01
11,Can't Stop the Feeling!,Justin Timberlake,pop,carefree,0.7,112,0.57,0.88,0.18,74,2010s,feel-good|anthemic|warm,False,0.04
12,Roar,Katy Perry,pop,romantic,0.76,124,0.6,0.66,0.23,77,2010s,sleek|polished|danceable,False,0.03
13,Sunflower,Post Malone & Swae Lee,pop,happy,0.74,132,0.7,0.68,0.3,70,2010s,uplifting|catchy|bright,False,0.03
14,Perfect,Ed Sheeran,pop,euphoric,0.62,102,0.61,0.66,0.21,70,2010s,glossy|radio-ready|sunny,False,0.03
15,As It Was,Harry Styles,pop,carefree,0.79,124,0.75,0.89,0.26,71,2020s,feel-good|anthemic|warm,False,0.0
16,Just the Way You Are,Bruno Mars,pop,romantic,0.82,129,0.83,0.84,0.12,65,2010s,sleek|polished|danceable,False,0.01
17,Havana,Camila Cabello,pop,happy,0.6,111,0.91,0.83,0.17,67,2010s,uplifting|catchy|bright,False,0.01
18,Payphone,Maroon 5,pop,euphoric,0.87,127,0.78,0.66,0.24,66,2010s,glossy|radio-ready|sunny,False,0.03
19,Thinking Out Loud,Ed Sheeran,pop,carefree,0.77,95,0.77,0.76,0.06,66,2010s,feel-good|anthemic|warm,False,0.02
20,Since U Been Gone,Kelly Clarkson,pop,romantic,0.86,110,0.57,0.87,0.29,60,2000s,sleek|polished|danceable,False,0.0
21,Sicko Mode,Travis Scott,hip-hop,confident,0.57,138,0.62,0.71,0.11,92,2010s,gritty|assertive|street,True,0.02
22,God's Plan,Drake,hip-hop,intense,0.84,124,0.71,0.91,0.16,94,2010s,braggadocious|hard-hitting|urban,False,0.02
23,HUMBLE.,Kendrick Lamar,hip-hop,angry,0.68,117,0.48,0.81,0.04,89,2010s,confident|raw|punchy,True,0.01
24,Lose Yourself,Eminem,hip-hop,moody,0.74,99,0.55,0.68,0.15,85,2000s,bold|rhythmic|sharp,True,0.0
25,In Da Club,50 Cent,hip-hop,confident,0.56,112,0.33,0.74,0.14,83,2000s,gritty|assertive|street,True,0.01
26,Empire State of Mind,Jay-Z ft. Alicia Keys,hip-hop,intense,0.86,143,0.54,0.74,0.11,81,2000s,braggadocious|hard-hitting|urban,False,0.01
27,Hotline Bling,Drake,hip-hop,angry,0.77,115,0.48,0.8,0.15,87,2010s,confident|raw|punchy,False,0.02
28,Started From the Bottom,Drake,hip-hop,moody,0.58,121,0.61,0.88,0.04,81,2010s,bold|rhythmic|sharp,True,0.01
29,Alright,Kendrick Lamar,hip-hop,confident,0.6,93,0.42,0.74,0.19,82,2010s,gritty|assertive|street,True,0.01
30,Money Trees,Kendrick Lamar,hip-hop,intense,0.73,76,0.57,0.82,0.02,79,2010s,braggadocious|hard-hitting|urban,True,0.0
31,Stronger,Kanye West,hip-hop,angry,0.63,122,0.5,0.73,0.09,74,2000s,confident|raw|punchy,True,0.0
32,Not Like Us,Kendrick Lamar,hip-hop,moody,0.88,103,0.69,0.88,0.07,75,2020s,bold|rhythmic|sharp,True,0.02
33,Mask Off,Future,hip-hop,confident,0.81,132,0.37,0.75,0.19,72,2010s,gritty|assertive|street,True,0.02
34,Bodak Yellow,Cardi B,hip-hop,intense,0.8,77,0.32,0.8,0.19,66,2010s,braggadocious|hard-hitting|urban,True,0.02
35,Old Town Road,Lil Nas X,hip-hop,angry,0.72,93,0.33,0.7,0.18,71,2010s,confident|raw|punchy,False,0.01
36,Life Is Good,Future ft. Drake,hip-hop,moody,0.74,144,0.55,0.83,0.1,66,2020s,bold|rhythmic|sharp,True,0.02
37,Goosebumps,Travis Scott,hip-hop,confident,0.86,96,0.58,0.76,0.07,65,2010s,gritty|assertive|street,True,0.0
38,No Role Modelz,J. Cole,hip-hop,intense,0.7,79,0.3,0.84,0.12,62,2010s,braggadocious|hard-hitting|urban,True,0.0
